playerID,yearID,stint,teamID,lgID,bats,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,age,PA,avg,allStar,allStarStart,weight,height,Rating
thomafr03,1956,1,PIT,NL,R,157,588,69,166,24,3,25,80,0,5,36,61,5,5,2,6,22,27,3.852,0.282,-1,-1,200,75,0.227234519
tuttlbi01,1956,1,DET,AL,R,140,546,61,138,22,4,9,65,5,4,38,48,1,1,4,3,18,27,3.605,0.253,-1,-1,190,72,0.238521458
virdobi01,1956,2,PIT,NL,L,133,509,67,170,21,10,8,37,6,6,33,63,7,1,2,2,12,25,3.346,0.334,-1,-1,175,72,0.163236529
wallsle01,1956,1,PIT,NL,R,143,474,72,130,20,11,11,54,3,5,50,83,0,2,9,2,11,23,3.235,0.274,-1,-1,205,75,0.142106044
wertzvi01,1956,1,CLE,AL,L,136,481,65,127,22,0,32,106,0,0,75,87,10,5,0,7,8,31,3.432,0.264,-1,-1,186,72,0.178308375
whitebi03,1956,1,NY1,NL,L,138,508,63,130,23,7,22,59,15,8,47,72,3,4,5,4,6,22,3.426,0.256,-1,-1,185,72,0.181015749
yosted01,1956,1,WS1,AL,R,152,515,94,119,17,2,11,53,8,5,151,82,9,8,9,1,8,30,4.111,0.231,-1,-1,170,70,0.155560389
aaronha01,1957,1,ML1,NL,R,151,615,118,198,27,6,44,132,1,1,57,58,15,0,0,3,13,23,4.148,0.322,1,9,180,72,0.338627046
aparilu01,1957,1,CHA,AL,R,143,575,82,148,22,6,3,41,28,8,52,55,1,0,9,4,7,23,3.87,0.257,-1,-1,160,69,0.198230821
ashburi01,1957,1,PHI,NL,L,156,626,93,186,26,8,0,33,13,10,94,44,1,4,1,4,10,30,4.444,0.297,-1,-1,170,70,0.235606908
avilabo01,1957,1,CLE,AL,R,129,463,60,124,19,3,5,48,2,4,46,47,2,1,16,2,10,33,3.142,0.268,-1,-1,175,70,0.174711342
bankser01,1957,1,CHN,NL,R,156,594,113,169,34,6,43,102,8,4,70,85,11,3,2,5,12,26,4.099,0.285,1,0,180,73,0.215554182
bauerha01,1957,1,NYA,AL,R,137,479,70,124,22,9,18,65,7,2,42,64,4,4,6,4,8,35,3.216,0.259,-1,-1,192,72,0.178768731
bellgu01,1957,1,CIN,NL,L,121,510,65,149,20,3,13,61,0,1,30,54,5,3,6,6,10,29,3.333,0.292,1,0,190,73,0.179784813
berrayo01,1957,1,NYA,AL,L,134,482,74,121,14,2,24,82,1,2,57,24,10,1,1,4,11,32,3.327,0.251,1,2,185,67,0.491651788
blasido01,1957,1,SLN,NL,L,154,650,108,176,25,7,8,58,21,9,71,49,4,1,5,1,4,25,4.451,0.271,-1,-1,160,70,0.277458219
bollifr01,1957,1,DET,AL,R,146,576,72,149,27,6,15,40,4,9,57,64,3,2,8,1,15,26,3.907,0.259,-1,-1,175,73,0.15353198
boonera01,1957,1,DET,AL,R,129,462,48,126,25,3,12,65,1,1,57,47,6,3,4,5,16,34,3.204,0.273,-1,-1,172,72,0.196354889
bouched01,1957,1,PHI,NL,L,154,574,78,168,35,8,17,76,1,0,84,91,6,14,0,3,15,24,4.062,0.293,-1,-1,200,72,0.141526631
boydbo01,1957,1,BAL,AL,L,141,485,73,154,16,8,4,34,2,4,55,31,3,2,8,2,4,38,3.333,0.318,-1,-1,170,70,0.264981422
boyerke01,1957,1,SLN,NL,R,142,544,79,144,18,3,19,62,12,8,44,77,8,1,4,5,11,26,3.63,0.265,-1,-1,190,73,0.150145437
cimolgi01,1957,1,BRO,NL,R,142,532,88,156,22,5,10,57,3,1,39,86,1,4,10,5,11,28,3.525,0.293,1,0,180,73,0.128887326
colavro01,1957,1,CLE,AL,R,134,461,66,116,26,0,25,84,1,6,71,80,0,1,4,7,12,24,3.284,0.252,-1,-1,190,75,0.151235062
crowege01,1957,1,CIN,NL,L,133,494,71,134,20,1,31,92,1,1,32,62,3,1,0,5,9,36,3.247,0.271,-1,-1,210,74,0.208668191
darkal01,1957,1,SLN,NL,R,140,583,80,169,25,8,4,64,3,4,29,56,4,4,5,4,7,35,3.778,0.29,-1,-1,185,71,0.196862681
ennisde01,1957,1,SLN,NL,R,136,490,61,140,24,3,24,105,1,3,37,50,3,1,1,8,22,32,3.253,0.286,-1,-1,195,72,0.26115932
fernach01,1957,1,PHI,NL,R,149,500,42,131,14,4,5,51,18,5,31,64,5,1,4,7,21,25,3.278,0.262,-1,-1,165,72,0.12549395
foxne01,1957,1,CHA,AL,L,155,619,110,196,27,8,6,61,5,6,75,13,2,16,5,3,7,30,4.284,0.317,1,4,160,70,1
gardnbi02,1957,1,BAL,AL,R,154,644,79,169,36,3,6,55,10,7,53,67,2,8,11,2,13,30,4.302,0.262,-1,-1,170,72,0.168981155
gilliji01,1957,1,BRO,NL,B,149,617,89,154,26,4,2,37,26,10,64,31,0,4,7,3,5,29,4.204,0.25,-1,-1,175,70,0.355545719
groatdi01,1957,1,PIT,NL,R,125,501,58,158,30,5,7,54,0,1,27,28,1,3,14,6,16,27,3.259,0.315,-1,-1,180,71,0.329685436
hamnegr01,1957,1,PHI,NL,R,133,502,59,114,19,5,10,62,3,1,34,42,3,0,7,5,23,30,3.309,0.227,-1,-1,163,70,0.225362138
hoakdo01,1957,1,CIN,NL,R,149,529,78,155,39,2,19,89,8,15,74,54,5,4,5,4,13,29,3.722,0.293,1,5,170,73,0.260654303
hodgegi01,1957,1,BRO,NL,R,150,579,94,173,28,7,27,98,5,3,63,91,6,2,4,6,11,33,3.963,0.299,1,0,200,73,0.170454747
jenseja01,1957,1,BOS,AL,R,145,544,82,153,29,2,23,103,8,5,75,66,3,2,1,5,22,30,3.821,0.281,-1,-1,190,71,0.22412818
kalinal01,1957,1,DET,AL,R,149,577,83,170,29,4,23,90,11,9,43,38,7,3,6,7,10,23,3.827,0.295,1,9,175,73,0.378277743
kaskoed01,1957,1,SLN,NL,R,134,479,59,131,16,5,1,35,6,1,33,53,7,0,5,2,7,26,3.16,0.273,-1,-1,180,72,0.138008028
klausbi01,1957,1,BOS,AL,L,127,477,76,120,18,4,10,42,2,0,55,53,0,0,1,4,12,29,3.284,0.252,-1,-1,160,69,0.171844955
kuennha01,1957,1,DET,AL,R,151,624,74,173,30,6,9,44,5,8,47,28,4,0,6,2,15,27,4.142,0.277,1,6,187,74,0.359514475
lemonji01,1957,1,WS1,AL,R,137,518,58,147,23,6,17,64,1,7,49,94,3,3,0,6,13,29,3.5,0.284,-1,-1,200,76,0.107730261
loganjo01,1957,1,ML1,NL,R,129,494,59,135,19,7,10,49,5,0,31,49,2,4,8,4,14,31,3.241,0.273,0,0,175,71,0.182236276
malzofr01,1957,1,BOS,AL,R,153,634,82,185,31,5,15,103,2,1,31,41,1,1,1,5,15,27,4.105,0.292,1,0,180,70,0.347676436
